Gene_name	abundances_CH2879_noINF	abundances_JJ012_noINF
STAT3	331615578.873563	462023330.180918
USP19	506795289.411601	518453049.682835
HNRNPK	4769842184.67748	7051105396.9077
NUP85	63723016.0818578	164898800.345586
XRN1	16619212.8729362	200394223.608295
GBP1	26372801.1511942	96626181.3500642
NCBP1	227570884.176494	730894183.890692
AP2A1	599617085.967758	31395722.4089485
GPS1	411000346.165919	205321653.53047
TYMS	7448555671.95155	357851712.671063
PLOD2	410980603.528651	373507669.053177
HLA-G	0	0
MORF4L1	361966174.793072	596065422.879192
TJP1	3738072042.61876	334390431.586411
SEC61A1	51288163.5230822	475943800.717553
HNRNPU	1092438007.348	1794173922.2822
CCN1	34829181.1059942	0
HNRNPH2	107786594.67446	16926649.94577
SMC1A	98535092.980557	551907259.067875
LONP2	145231923.652149	2941339618.74997
NBAS	155648793.812549	183549160.552699
CCPG1	15994184685.3232	47579227.7034047
KDM5B	584205298.132067	109733433.596077
CYB5R3	69157576.8211656	9376305.89418721
GFPT2	908192540.598683	70474754.7787096
RPS19	372735206.318277	1826507772.21293
AKAP9	731213675.029241	103917240.907711
ILF3	1801719244.17978	116302479.138353
FTL	176174468.512484	7364794739.58925
HSPA4	366288953.489256	301349213.354486
PPP4R1	31375011.6938009	1504780833.68186
POLR1A	216245820.338949	509718333.292653
EIF4G2	571945861.913959	539696899.385776
ITPR2	44733255.1180408	86740067.9357657
ADAR	1113688828.40539	670379012.885747
SHMT2	472786445.469422	1040211248.76524
ABCC1	31325129.6816711	261718259.169824
RAD50	18616942.8977043	526440260.354496
SMARCA5	1877118597.16699	105402813.840282
TXNRD1	66755860.6725885	497819111.031097
BAZ1B	1607141348.73508	1421550155.47069
HTT	86129766.9862729	190724994.347263
ARCN1	28966452166.8425	3573675261.1871
NIPBL	1154618025.11529	41641207.1889636
HK2	211347227.25679	522875211.957817
HERC1	357617954.342017	51963345.4671075
KNTC1	147277442.225612	318866415.148866
PCNT	137905972.866504	541574266.33816
SEC23A	25368665.7415697	1711678785.87888
HDAC2	1210292116.7359	677558579.674642
AKAP11	119697824.032471	85407255.6679494
HSPH1	53152891.6696385	355342586.732498
NCOR2	760590763.152153	36866882.042636
KHDRBS1	21586181.3120967	106613819.181714
MAGED2	1345135620.95751	555249081.34507
NUP133	371057127.647171	361718182.652613
COG4	573918275.934412	658435047.155643
EIF4G3	643000667.526066	312419898.606901
SEC23B	2926270053.05156	1725744791.38967
IARS1	168371614.85283	42171983.5618436
CYFIP1	1404281872.06149	546913745.018594
CDK5RAP2	19076569.3555821	178304052.86576
DNAAF5	1341101452.88661	739107713.908191
VPS53	43489588.4868673	462873028.928051
KRT8	100106.585160402	17413546.2377471
HDAC1	8014192.48728694	2762418.44390829
NASP	4833444.51839083	627222961.373708
PKD1	487051237.49536	331173459.007581
NOC2L	783063.134163258	283074366.541766
EP400	43488728.4893374	281076726.956371
TKT	593676560.6604	38358973.442306
CCT4	256932077.39669	838671405.23536
ARHGAP5	51755608.6418146	241868721.498475
MED12	438349303.054856	957451931.944537
LTN1	161709355.306627	790130428.435455
NOL11	67845183.9834546	3876287378.4115
NCAPG2	163058619.076883	1850528423.05561
PSME4	96680123.7583363	1952144822.79421
PTPN14	303750401.625166	203056363.405102
ITGA3	1076266065.1401	8424120543.41358
NLRC5	28835753.0067703	112780232.084491
MAP1B	2753968333.23106	1112369020.49267
UBR2	68930669.2104815	797356508.930985
KDM5A	33122260.8509267	127740884.937335
RPL6	41848213.5945073	58029946.5197213
MARCHF6	47573862.6038794	832860618.580462
CHD8	245371418.324183	86381567.1876321
NF1	13149729.6946666	101835127.783019
EXOC1	55159875.1947817	2131304462.5453
DCTN1	50732025.5960787	367890142.526218
KRT18	9856970.15618794	1923072034.30231
FADS1	108357607.18754	14446479.9701805
EEF1A2	2057316.9513763	0
VCP	1564063381.6625	150958044.114245
PSMD11	7299721.67784443	196126789.565744
PBRM1	50235855.1318549	16873853.0759728
HLTF	2830820452.95516	216949000.118424
BUB3	337584076.586822	1586746049.42762
ABCF3	11325032.0066385	1369736278.29575
PTBP1	1121997160.30841	231281864.708651
PSMD8	1502715884.16267	76880176.6308785
VPS41	236551759.919258	4170704411.74861
KDM2A	369022150.872889	119324675.019139
INTS4	23000280.9648472	510744068.105275
DDX1	49072082.621441	348389665.849474
SEL1L3	320936896.050054	187697555.184991
GCC2	23242264.1356485	442928068.250021
SOAT1	191237480.159374	128031817.951118
HECTD1	361236962.980029	553584257.721644
EXT2	268728169.401892	1909338507.77516
SUPT5H	95081774.5652154	3932144125.14691
KNL1	1377985661.5903	86889154.8864355
FAT4	138538562.309442	298084672.343777
TGFBI	294384448.792395	54573055.4786194
UBR3	230765641.592415	453620618.387218
TCF25	1143954096.7733	1451772034.60041
RNF40	15046005.0370723	234445948.971219
CUL7	1437927967.28713	531924429.775603
